train E000:   0% 0/156 [00:00<?, ?it/s.

train E000:   0% 0/156 [00:05<?, ?it/s, acc=0.0000, loss=6.2627]
train E000:   1% 1/156 [00:05<15:19,  5.93s/it, acc=0.0000, loss=6.2627.

train E000:   1% 1/156 [00:06<15:19,  5.93s/it, acc=0.0052, loss=6.2597]
train E000:   1% 2/156 [00:06<11:07,  4.34s/it, acc=0.0052, loss=6.2597.

train E000:   1% 2/156 [00:07<11:07,  4.34s/it, acc=0.0105, loss=6.2557]
train E000:   2% 3/156 [00:07<08:09,  3.20s/it, acc=0.0105, loss=6.2557.

train E000:   2% 3/156 [00:07<08:09,  3.20s/it, acc=0.0158, loss=6.2462]
train E000:   3% 4/156 [00:07<06:05,  2.40s/it, acc=0.0158, loss=6.2462.

train E000:   3% 4/156 [00:08<06:05,  2.40s/it, acc=0.0205, loss=6.2326]
train E000:   3% 5/156 [00:08<04:37,  1.84s/it, acc=0.0205, loss=6.2326.

train E000:   3% 5/156 [00:08<04:37,  1.84s/it, acc=0.0249, loss=6.2211]
train E000:   4% 6/156 [00:08<03:37,  1.45s/it, acc=0.0249, loss=6.2211.

train E000:   4% 6/156 [00:09<03:37,  1.45s/it, acc=0.0296, loss=6.2101]
train E000:   4% 7/156 [00:09<02:55,  1.18s/it, acc=0.0296, loss=6.2101.

train E000:   4% 7/156 [00:09<02:55,  1.18s/it, acc=0.0347, loss=6.1877]
train E000:   5% 8/156 [00:09<02:26,  1.01it/s, acc=0.0347, loss=6.1877.

train E000:   5% 8/156 [00:10<02:26,  1.01it/s, acc=0.0386, loss=6.1686]
train E000:   6% 9/156 [00:10<02:05,  1.17it/s, acc=0.0386, loss=6.1686.

train E000:   6% 9/156 [00:10<02:05,  1.17it/s, acc=0.0424, loss=6.1474]
train E000:   6% 10/156 [00:10<01:50,  1.32it/s, acc=0.0424, loss=6.1474.

train E000:   6% 10/156 [00:11<01:50,  1.32it/s, acc=0.0470, loss=6.1257]
train E000:   7% 11/156 [00:11<01:39,  1.46it/s, acc=0.0470, loss=6.1257.

train E000:   7% 11/156 [00:11<01:39,  1.46it/s, acc=0.0512, loss=6.1076]
train E000:   8% 12/156 [00:11<01:32,  1.56it/s, acc=0.0512, loss=6.1076.

train E000:   8% 12/156 [00:12<01:32,  1.56it/s, acc=0.0559, loss=6.0869]
train E000:   8% 13/156 [00:12<01:26,  1.65it/s, acc=0.0559, loss=6.0869.

train E000:   8% 13/156 [00:12<01:26,  1.65it/s, acc=0.0600, loss=6.0673]
train E000:   9% 14/156 [00:12<01:22,  1.72it/s, acc=0.0600, loss=6.0673.

train E000:   9% 14/156 [00:13<01:22,  1.72it/s, acc=0.0641, loss=6.0435]
train E000:  10% 15/156 [00:13<01:20,  1.76it/s, acc=0.0641, loss=6.0435.

train E000:  10% 15/156 [00:14<01:20,  1.76it/s, acc=0.0683, loss=6.0201]
train E000:  10% 16/156 [00:14<01:19,  1.76it/s, acc=0.0683, loss=6.0201.

train E000:  10% 16/156 [00:14<01:19,  1.76it/s, acc=0.0730, loss=5.9981]
train E000:  11% 17/156 [00:14<01:17,  1.80it/s, acc=0.0730, loss=5.9981.

train E000:  11% 17/156 [00:15<01:17,  1.80it/s, acc=0.0775, loss=5.9719]
train E000:  12% 18/156 [00:15<01:15,  1.82it/s, acc=0.0775, loss=5.9719.

train E000:  12% 18/156 [00:15<01:15,  1.82it/s, acc=0.0812, loss=5.9535]
train E000:  12% 19/156 [00:15<01:14,  1.84it/s, acc=0.0812, loss=5.9535.

